date, pm25, pm10, o3, no2
2024/1/9, 32, 10, , 17
2024/1/10, 30, 9, , 5
2024/1/11, 27, 9, , 11
2024/1/12, 31, 8, , 2
2024/1/13, 23, 6, , 5
2024/1/14, 18, 8, , 14
2024/1/15, 24, 6, , 6
2024/1/16, 23, 9, , 18
2024/1/17, 29, 7, , 8
2024/1/18, 27, 9, , 6
2024/1/19, 30, 6, , 7
2024/1/20, 21, 4, , 1
2024/1/21, 14, 16, , 1
2024/1/22, 40, 15, , 4
2024/1/23, 34, 14, , 2
2024/1/24, 36, 14, , 5
2024/1/25, 33, 10, , 4
2024/1/26, 23, 21, , 1
2024/1/27, 55, 15, , 1
2024/1/28, 45, 22, , 7
2024/1/29, 47, 18, , 18
2024/1/30, 45, 11, , 1
2024/1/31, 27, 16, , 2
2024/2/1, 41, 4, , 2
2024/2/2, 11, 18, , 2
2024/2/3, 40, 9, , 6
2024/2/4, 21, 15, , 13
2024/2/5, 38, 6, , 14
2024/2/6, 19, 3, , 7
2024/2/7, 11, 8, , 22
2024/2/8, 25, 16, , 27
2024/2/9, 52, 9, , 10
2024/2/10, 28, 14, , 21
2024/2/11, 50, 5, , 13
2024/2/12, 15, 3, , 1
2024/2/13, 9, 9, , 3
2024/2/14, 27, 6, , 15
2024/2/15, 16, 2, , 6
2024/2/16, 6, 8, , 14
2024/2/17, 25, 4, , 7
2024/2/18, 17, 3, , 5
2024/2/19, 11, 9, , 3
2024/2/20, 25, 6, , 2
2024/2/21, 16, 6, , 3
2024/2/22, 15, 4, , 5
2024/2/23, 10, 5, , 1
2024/2/24, 17, 3, , 2
2024/2/25, 12, 4, , 9
2024/2/26, 11, 3, , 2
2024/2/27, 9, 17, , 4
2024/2/28, 45, 8, , 2
2024/2/29, 24, 5, , 11
2024/3/1, 16, 4, , 5
2024/3/2, 11, 8, , 13
2024/3/3, 22, 8, , 13
2024/3/4, 23, 18, , 18
2024/3/5, 36, 14, , 8
2024/3/6, 37, 10, , 14
2024/3/7, 32, 12, , 17
2024/3/8, 35, 14, , 17
2024/3/9, 40, 11, , 12
2024/3/10, 28, 18, , 20
2024/3/11, 33, 18, , 21
2024/3/12, 38, 8, , 4
2024/3/13, 22, 17, , 3
2024/3/14, 47, 5, , 5
2024/3/15, 15, 3, , 5
2024/3/16, 7, 5, , 5
2024/3/17, 13, 3, , 1
2024/3/18, 5, 2, , 1
2024/3/19, 5, 11, , 8
2024/3/20, 26, 5, , 2
2024/3/21, 13, 21, , 4
2024/3/22, 51, 6, , 1
2024/3/23, 20, 2, , 8
2024/3/24, 6, 4, , 7
2024/3/25, 8, 6, , 9
2024/3/26, 14, 4, , 7
2024/3/27, 14, 6, , 7
2024/3/28, 19, 4, , 1
2024/3/29, 13, 7, , 1
2024/3/30, 21, 4, , 3
2024/3/31, 15, 4, , 7
2023/10/1, 8, 10, 24, 5
2023/10/2, 26, 10, 27, 4
2023/10/3, 25, 7, 29, 6
2023/10/4, 16, 6, 25, 8
2023/10/5, 14, 3, 27, 2
2023/10/6, 8, 6, 22, 6
2023/10/7, 13, 7, 23, 5
2023/10/8, 19, 7, 25, 12
2023/10/9, 17, 3, 27, 
2023/10/10, 9, 12, 32, 5
2023/10/11, 28, 16, 30, 2
2023/10/12, 36, 7, 29, 1
2023/10/13, 20, 9, 32, 4
2023/10/14, 20, 7, 27, 5
2023/10/15, 16, 6, 28, 4
2023/10/16, 14, 9, 29, 3
2023/10/17, 21, 8, 20, 12
2023/10/18, 19, 6, 29, 2
2023/10/19, 14, 4, 27, 
2023/10/20, 7, 3, 27, 
2023/10/21, 9, 4, 20, 8
2023/10/22, 12, 4, 13, 9
2023/10/23, 13, 9, 3, 18
